dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_random,19,0.2,38,0.1621482715505142,0.0064875438329581436
Apache,kmeans_random,20,0.2,38,0.1629173202159475,0.011999989983926092
Apache,random,,0.2,38,0.16151562625427357,0.01026526184454264
Apache,diversity,,0.3,58,0.14727765089946945,0.0
Apache,kmeans_default,5,0.3,58,0.17633477266380954,0.02623627511909728
Apache,kmeans_default,6,0.3,58,0.16164064459124367,0.012679672978334219
Apache,kmeans_default,7,0.3,58,0.16398494052086682,0.01725538676714223
Apache,kmeans_default,8,0.3,58,0.16056743324453537,0.017046348755582686
Apache,kmeans_default,9,0.3,58,0.15745867480843598,0.012161243944517388
Apache,kmeans_default,10,0.3,58,0.15550302242217892,0.00828651456562088
Apache,kmeans_default,11,0.3,58,0.15670260922287893,0.012343564087685758
Apache,kmeans_default,12,0.3,58,0.15586500692040817,0.011771275701902216
Apache,kmeans_default,13,0.3,58,0.15368256297301794,0.008445697798932802
Apache,kmeans_default,14,0.3,58,0.157347241442951,0.01206277156222946
Apache,kmeans_default,15,0.3,58,0.15757418368365092,0.013386911645596002
Apache,kmeans_default,16,0.3,58,0.15495591633994318,0.008067147224562376
Apache,kmeans_default,17,0.3,58,0.1532041210427767,0.006726513350539544
Apache,kmeans_default,18,0.3,58,0.15584976968484524,0.009686852631653324
Apache,kmeans_default,19,0.3,58,0.15452338553927522,0.007113044232124806
Apache,kmeans_default,20,0.3,58,0.1514406663062826,0.006786349093801127
Apache,kmeans_hamming,5,0.3,58,0.15203236193432276,0.004892663316855019
Apache,kmeans_hamming,6,0.3,58,0.1517729044653988,0.004757890671865874
Apache,kmeans_hamming,7,0.3,58,0.15391224309363902,0.005152192576156717
Apache,kmeans_hamming,8,0.3,58,0.1543302086964669,0.006604182660703392
Apache,kmeans_hamming,9,0.3,58,0.15517162169456308,0.005327755571239755
Apache,kmeans_hamming,10,0.3,58,0.15506137145278132,0.006203669158494961
Apache,kmeans_hamming,11,0.3,58,0.15427867904501577,0.005669362028232073
Apache,kmeans_hamming,12,0.3,58,0.15519015487847954,0.00624726524023476
Apache,kmeans_hamming,13,0.3,58,0.15795395365767628,0.007210559006708388
Apache,kmeans_hamming,14,0.3,58,0.15441328278476713,0.005026734882511037
Apache,kmeans_hamming,15,0.3,58,0.1543930510439054,0.006081660538833432
Apache,kmeans_hamming,16,0.3,58,0.15621714116223231,0.005063900042158638
Apache,kmeans_hamming,17,0.3,58,0.15615195888641695,0.005894348577371985
Apache,kmeans_hamming,18,0.3,58,0.15919589475642565,0.007277057891795612
Apache,kmeans_hamming,19,0.3,58,0.15766901582368734,0.005995679501231059
Apache,kmeans_hamming,20,0.3,58,0.1571337929636998,0.005746259313838388
Apache,kmeans_random,5,0.3,58,0.16086558678471607,0.008452905477199771
Apache,kmeans_random,6,0.3,58,0.15746684337859193,0.008237774354880696
Apache,kmeans_random,7,0.3,58,0.15595294380485794,0.007715489178771059
Apache,kmeans_random,8,0.3,58,0.1603806233371596,0.008931689929870448
Apache,kmeans_random,9,0.3,58,0.15586952106711705,0.009021743855685336
Apache,kmeans_random,10,0.3,58,0.15674988071504461,0.008060273056935203
Apache,kmeans_random,11,0.3,58,0.15712824906882175,0.007076250651433362
Apache,kmeans_random,12,0.3,58,0.15774201388353123,0.006335691875958414
Apache,kmeans_random,13,0.3,58,0.15685379501907376,0.007513183563581644
Apache,kmeans_random,14,0.3,58,0.1579370393349463,0.007600540825671487
Apache,kmeans_random,15,0.3,58,0.15773553791842668,0.007517077591153568
Apache,kmeans_random,16,0.3,58,0.15669413083600292,0.008175569092131851
Apache,kmeans_random,17,0.3,58,0.15687264454343214,0.005947783540624777
Apache,kmeans_random,18,0.3,58,0.15692194623253786,0.0063952628548287855
Apache,kmeans_random,19,0.3,58,0.15704837067262184,0.005642270822524395
Apache,kmeans_random,20,0.3,58,0.1577015895969945,0.006503822691161933
Apache,random,,0.3,58,0.15777057619924664,0.006787622295207505
Apache,diversity,,0.4,77,0.14912695029175904,0.0
Apache,kmeans_default,5,0.4,77,0.1729914409864016,0.02596371368234736
Apache,kmeans_default,6,0.4,77,0.1544060312528081,0.01180812285148425
Apache,kmeans_default,7,0.4,77,0.1523999688878303,0.0046367066516882615
Apache,kmeans_default,8,0.4,77,0.15146233725054506,0.006818370212410673
Apache,kmeans_default,9,0.4,77,0.1514105310880291,0.006635834964376565
Apache,kmeans_default,10,0.4,77,0.150789315627225,0.0072699944394447715
Apache,kmeans_default,11,0.4,77,0.15137648257523512,0.008696855248351664
Apache,kmeans_default,12,0.4,77,0.1514357992084353,0.004784978707828654
Apache,kmeans_default,13,0.4,77,0.15160300615187527,0.006673232753411616
Apache,kmeans_default,14,0.4,77,0.15350432296722047,0.0068579180820616
Apache,kmeans_default,15,0.4,77,0.1511530617692898,0.006744917941836715
Apache,kmeans_default,16,0.4,77,0.15189405291477368,0.007048316636039896
Apache,kmeans_default,17,0.4,77,0.1527468811725205,0.005043863021917087
Apache,kmeans_default,18,0.4,77,0.15188515349409445,0.005011795011188391
Apache,kmeans_default,19,0.4,77,0.15114063750708276,0.006553253923437307
Apache,kmeans_default,20,0.4,77,0.15074062086417603,0.0060243294071505495
Apache,kmeans_hamming,5,0.4,77,0.15254335072421962,0.007060033791464989
Apache,kmeans_hamming,6,0.4,77,0.15077126703139207,0.005215006045714313
Apache,kmeans_hamming,7,0.4,77,0.15390183577994238,0.004364259457248308
Apache,kmeans_hamming,8,0.4,77,0.1532368413984598,0.006196730113745039
Apache,kmeans_hamming,9,0.4,77,0.15400600892383148,0.006562319505263084
Apache,kmeans_hamming,10,0.4,77,0.1532342052264702,0.004807460707255005
Apache,kmeans_hamming,11,0.4,77,0.152668737362133,0.00515547140601275
Apache,kmeans_hamming,12,0.4,77,0.15280652774910736,0.004538810797338746
Apache,kmeans_hamming,13,0.4,77,0.15514582536098864,0.005997757464396155
